Constellation,IAU,NASA,Genitive,Origin,Meaning,Brighest starPositionDescriptor
Pyxis,Pyx,Pyxi,Pyxidis,1763 Lacaille,mariner's compass,α Pyxidis
Reticulum,Ret,Reti,Reticuli,1763 Lacaille,eyepiece graticule,α Reticuli
Sagitta,Sge,Sgte,Sagittae,ancient (Ptolemy),arrow,γ Sagittae
Sagittarius,Sgr,Sgtr,Sagittarii,ancient (Ptolemy),archer,Kaus Australis
Scorpius,Sco,Scor,Scorpii,ancient (Ptolemy),scorpion,Antares
Sculptor,Scl,Scul,Sculptoris,1763 Lacaille,sculptor,α Sculptoris
Scutum,Sct,Scut,Scuti,1690 Firmamentum Sobiescianum Hevelius,shield (ofSobieski),α Scuti
Serpens,Ser,Serp,Serpentis,ancient (Ptolemy),snake,Unukalhai
Sextans,Sex,Sext,Sextantis,1690 Firmamentum Sobiescianum Hevelius,sextant,α Sextantis
Taurus,Tau,Taur,Tauri,ancient (Ptolemy),bull,Aldebaran
Telescopium,Tel,Tele,Telescopii,1763 Lacaille,telescope,α Telescopii
Triangulum,Tri,Tria,Trianguli,ancient (Ptolemy),triangle,β Trianguli
Triangulum Australe,TrA,TrAu,Trianguli Australis,1603 Uranometria  created byKeyserandde Houtman,southern triangle,Atria
Tucana,Tuc,Tucn,Tucanae,1603 Uranometria  created byKeyserandde Houtman,toucan,α Tucanae
Ursa Major,UMa,UMaj,Ursae Majoris,ancient (Ptolemy),great bear,Alioth
Ursa Minor,UMi,UMin,Ursae Minoris,ancient (Ptolemy),lesser bear,Polaris
Vela,Vel,Velr,Velorum,1763 Lacaille  split fromArgo Navis,sails,γ2Velorum
Virgo,Vir,Virg,Virginis,ancient (Ptolemy),virginor maiden,Spica
Volans,Vol,Voln,Volantis,1603 Uranometria  created byKeyserandde Houtman  asPiscis Volans,flying fish,β Volantis
Vulpecula,Vul,Vulp,Vulpeculae,1690 Firmamentum Sobiescianum Hevelius  asVulpecula cum Ansere,fox,Anser


























