id,dataSetName,displayName,commonName,System Name,Epoch,constellationName,mass,notes,source,catalogIdList,simbadId,Gaia DR2,radius,ra,declination,pmra,pmdec,distance,radialVelocity,spectralClass,temperature,realStar,bprp,bpg,grp,luminosity,magu,magb,magv,magr,magi,other,anomaly,polity,worldType,fuelType,portType,populationType,techType,productType,milSpaceType,milPlanType,age,metallicity,miscText1,miscText2,miscText3,miscText4,miscText5,miscNum1,miscNum2,miscNum3,miscNum4,miscNum5,numExoplanets
590788d7-ca4a-4df9-b0b0-dcce508b486b, 30 ly, * 41 Ara A, , 41 Ara, 2016, Ara, 0.0, none~ ..., Simbad|GaiaDR2, CCDM J17191-4638A| CD-46 11370A| GEN# +1.00156274A| GJ 666 A| IDS 17115-4632 A| PM 17153-4635A| TYC 8341-4366-1| WDS J17191-4638A| Gaia DR2 5951165616611763456| LHS 444| 2MASS J17190373-4638109| Zkh 247| NLTT 44524| LTT 6886| ** BSO 13A| * 41 Ara A| WISEA J171904.35-463810.3| HD 156274 Aa| HIP 84720, 41 Ara A, Gaia DR2 5951165616611763456, 0.0, 259.7726543, -46.63575838, 1029.609544, 0.085671164, 28.67659534, 25.964, G9, 5607.0, true, 0.95428, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.0, 0.0, , , , , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
90bc3924-6871-4323-87dd-f980e78bebf5, 30 ly, GJ 1061, , L 372-58, 2016, , 0.0, ..., no source identified, GJ 1061|, L 372-58, , 0.0, 54.00339388, -44.51436232, 745.65434, 0.03492798, 11.98553065, 14.499, M, 0.0, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, null, 0.0, 0.0, , , , , , 0.0, 0.0, 0.0, 0.0, 0.0, 0
4723ce22-601b-48d6-b6bd-4d172e250924, 30 ly, Ross 128, , FI Vir, 2016, Virgo, 0.0, none~ ..., Simbad|GaiaDr2, PLX 2730| LSPM J1147+0048| ASCC 1136005| UCAC2 32039206| USNO-B1.0 0908-00204201| 2E 2532| 8pc 299.58| CSI+01-11451| Ci 20 662| G 10-50| G 11-22| GAT 1132| GCRV 7139| GEN# +6.10010447| GJ 447| GSC 00272-00665| HIC 57548| HIP 57548| IRAS 11451+0105| JP11 5144| JP11 5186| JP11 5145| LFT 852| LHS 315| LTT 13240| MCC 286| NLTT 28570| PM 11452+0106| Ross 128| UBV M 42951| USNO 615| USNO 840| V* FI Vir| VVO 214| Zkh 169| [GKL99] 248| [RHG95] 1849| 2MASS J11474440+0048164| PLX 2730.00| 1RXS J114744.7+004831| 2E 1145.1+0105| RX J1147.7+0048| TYC 272-1051-1| GSC 00272-01051| [ZEH2003] RX J1147.7+0048 1| GAT 1131| Gaia DR2 3796072592206250624| WISEA J114744.81+004803.7| UCAC4 455-052049| PM J11477+0048| EPIC 201518346| Gaia DR1 3796072587910775936| GALEX 3196326618938216349| WEB 10335| Karmn J11477+008| | HIP 57548, @1847655, Gaia DR2 3796072592206250624, 0.0, 176.937688, 0.79911997, 607.2990767, 0.03432964, 11.00891547, -31.073, M4, 3277.0, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.0, 0.0, , , , , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
9425c2b4-52a2-4819-8c43-4be32980e636, 30 ly, L 32-8, , IRAS 06355-7535, 2016, Mensa, 0.0, none~ ..., Simbad|GaiaDR2, 2MASS J06334690-7537301| CCDM J06337-7538B| HIC 31292| HIP 31292| IDS 06371-7533 B| L 32-8| NLTT 16774| GSC 09379-01149| WDS J06337-7538B| ** LDS 169B| WISEA J063345.84-753727.1| UCAC4 072-005869| PM J06337-7537N| TYC 9379-1149-1| Gaia DR2 5260759175761502976| |, @3177932, Gaia DR2 5260759175761502976, 0.0, 98.43896955, -75.62380392, -328.7629315, 0.02238957, 28.83362591, 12.2, M3, 3585.0, true, 2.65623, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.0, 0.0, , , , , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
54bc670e-1167-4d0d-ba30-685c71b2bcd3, 30 ly, G 41-14 A, , G 41-14, 2016, , 0.0, ..., no source identified, GJ 3522 A|, G 41-14 A, , 0.0, 134.73635, 8.472451192, 371.2, 3.5, 22.0912908, 53.443, M, 0.0, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, null, 0.0, 0.0, , , , , , 0.0, 0.0, 0.0, 0.0, 0.0, 0
4bc89d3d-aa65-41ab-8a9d-e4217c40f270, 30 ly, 2MASS J07290002-3954043, , 2MASS J07290002-3954043, 2000, , 0.0, ..., no source identified, , 2MASS J07290002-3954043, , 0.0, 112.250104, -39.901222, -566.6, 5.3, 25.82739509, 0.0, T, 0.0, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, null, 0.0, 0.0, , , , , , 0.0, 0.0, 0.0, 0.0, 0.0, 0
d007db4d-4652-4baf-8183-82814368825c, 30 ly, * ksi UMa B, , , J2000, Ursa maj, 0.0, none, Simbad|GaiaDR2, CABS 92|* 53 UMa B|* ksi UMa B|ADS 8119 B|BD+32 2132B|CCABS 76|CCDM J11182+3132B|CSI+32 2132 2|GCRV 6921|GJ 423 B|HD 98230|HR 4374|IDS 11128+3206 B|LFT 791|LHS 2391|LTT 13046|NLTT 26921|ROT 1679|SBC7 427|TYC 2520-2634-2|UBV M 16961|Zkh 154|WDS J11182+3132B|WDS J11182+3132Ba~Bb|SBC9 667|** CHR 178|** STF 1523B|PMSC 11128+3205B|PMSC 11128+3205Bab|GJ 423 D|Gaia DR2 756853643637996160|WEB 9945|WEB 9946|LSPM J1118+3131B, @1800871, Gaia DR2 756853643637996160, 0.0, 169.54344, 31.5265, -339.3975, -607.89225, 28.47493, 0.0, G2V, 3821.5, true, 3.21276, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.0, 0.0, , , , , -0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0
011f7ae2-fd03-47aa-8e4b-1ec2d30d34dd, 30 ly, L 230-188, , L 230-188, 2016, , 0.0, ..., no source identified, GJ 1068|, L 230-188, , 0.0, 62.61100026, -53.61299677, -825.1793704, 0.024030428, 23.18472225, -0.506, M, 0.0, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, null, 0.0, 0.0, , , , , , 0.0, 0.0, 0.0, 0.0, 0.0, 0
b5e57694-ac84-4c6f-92b6-282935d8980e, 30 ly, CD-25 10553, , , J2000, Hydra, 0.0, none, Simbad|GaiaDr2, PLX 3346|8pc 235.24A|CCDM J14495-2606A|CE 496|CSI-25 10553 21|GCRV 20389|GEN# -0.02510553A|GJ 563.2 A|HIC 72511|HIP 72511|IDS 14439-2540 A|L 622-8|LFT 1142|LHS 380|LPM 543|LTT 5883|NLTT 38457|[RHG95] 2340|WISEA J144932.33-260622.7|WDS J14497-2605A|GJ 9495 A|** LDS 508A|Gaia DR2 6228695270697905280|2MASS J14493338-2606205|PM 14467-2554A|UCAC4 320-076926|UCAC4 320-076924|PM J14495-2606E|CD-25 10553A|TYC 6751-1898-1, @9700113, Gaia DR2 6228695270697905280, 0.0, 222.38854, -26.10578, 48.2709, 0.0, 15.1916, -35.0, M1.5V, 0.0, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.0, 0.0, , , , , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
a432ce74-b6cb-41f6-a2ad-32d54d93a5a7, 30 ly, WISE J064723.23-623235.5, , WISE J064723.23-623235.5, 2016.7, , 0.0, ..., no source identified, , WISE J064723.23-623235.5, , 0.0, 101.846799, -62.542541, 2.2, 0.6, 32.7839196, 0.0, Y, 0.0, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, null, 0.0, 0.0, , , , , , 0.0, 0.0, 0.0, 0.0, 0.0, 0
