B6IV,8.2,1.20E+003,4.05E+000,17140,-0.2,-1.3,-1.65,-2.95,175,194,255
B5IV,9.1,2.21E+003,4.50E+000,18950,-0.22,-1.7,-1.91,-3.61,172,192,255
B4IV,10.6,4.79E+003,5.52E+000,20760,-0.24,-2.3,-2.15,-4.45,169,190,255
B3IV,12.2,9.32E+003,6.51E+000,22570,-0.25,-2.8,-2.37,-5.17,166,188,255
B2IV,15.8,1.96E+004,8.08E+000,24380,-0.27,-3.4,-2.58,-5.98,159,179,255
B1IV,19.4,3.70E+004,9.63E+000,26190,-0.28,-3.9,-2.77,-6.67,157,180,255
B0IV,22.9,7.57E+004,1.21E+001,28000,-0.29,-4.5,-2.95,-7.45,156,179,255
B9V,3.4,1.19E+002,2.73E+000,11710,-0.11,0.3,-0.74,-0.44,181,198,255
B8V,3.8,2.11E+002,2.73E+000,13520,-0.15,0,-1.06,-1.06,177,195,255
B7V,4.5,4.04E+002,2.94E+000,15330,-0.18,-0.4,-1.37,-1.77,173,191,255
B6V,5.2,6.92E+002,3.07E+000,17140,-0.2,-0.7,-1.65,-2.35,172,189,255
B5V,5.9,1.16E+003,3.26E+000,18950,-0.22,-1,-1.91,-2.91,170,191,255
B4V,6.7,2.29E+003,3.82E+000,20760,-0.24,-1.5,-2.15,-3.65,164,184,255
B3V,7.6,4.89E+003,4.71E+000,22570,-0.25,-2.1,-2.37,-4.47,165,185,255
B2V,10.9,9.36E+003,5.59E+000,24380,-0.27,-2.6,-2.58,-5.18,160,180,255
B1V,14.2,1.94E+004,6.97E+000,26190,-0.28,-3.2,-2.77,-5.97,160,182,255
B0V,17.5,3.62E+004,8.34E+000,28000,-0.29,-3.7,-2.95,-6.65,156,178,255
B9VI,2.1,5.20E+001,1.81E+000,11710,-0.11,1.2,-0.74,0.46,181,198,255
B8VI,2.4,1.01E+002,1.89E+000,13520,-0.15,0.8,-1.06,-0.26,177,195,255
B7VI,2.5,1.93E+002,2.03E+000,15330,-0.18,0.4,-1.37,-0.97,173,191,255
B6VI,2.7,3.63E+002,2.23E+000,17140,-0.2,0,-1.65,-1.65,172,189,255
B5VI,2.9,6.67E+002,2.47E+000,18950,-0.22,-0.4,-1.91,-2.31,170,191,255
B4VI,3.4,1.32E+003,2.89E+000,20760,-0.24,-0.9,-2.15,-3.05,164,184,255
B3VI,3.8,2.57E+003,3.41E+000,22570,-0.25,-1.4,-2.37,-3.77,165,185,255
B2VI,4.5,5.39E+003,4.24E+000,24380,-0.27,-2,-2.58,-4.58,160,180,255
B1VI,5.2,1.02E+004,5.05E+000,26190,-0.28,-2.5,-2.77,-5.27,160,182,255
B0VI,5.9,1.90E+004,6.04E+000,28000,-0.29,-3,-2.95,-5.95,156,178,255
