object,other,type,con,ra_hr,ra_min,dec_deg,dec_min,mag,subr,urano,ti,size_max,size_min,pa,class,nsts,brstr,bchm,ngc descr,notes
NGC7831,IC1530,GALXY,AND,0,7.3,32,37,12.8,12.3,89,4,1.5m,0.3m,38,Sb,,,,eF;vS;mE;vF*v nr,
NGC5,UGC62,GALXY,AND,0,7.8,35,22,13.3,13.2,89,4,1.2m,0.7m,115,Elliptical,,,,vF;vS;N=*13;14,compact
NGC7836,UGC65,GALXY,AND,0,8,33,4,13.7,12.7,89,4,0.9m,0.5m,133,Ir,,,,eF;vS;R;bet 2 st,
NGC11,UGC73,GALXY,AND,0,8.7,37,27,13.7,12.5,89,4,1.5m,0.3m,111,Sa,,,,vF;vS;vlE;2 vf st inv,
NGC13,UGC77,GALXY,AND,0,8.8,33,26,13.2,13.5,89,4,2.3m,0.6m,53,Sab,,,,vF;vS;S st + neb,H III 866;UGC 77
NGC6,NGC20,GALXY,AND,0,9.5,33,19,13,99.9,89,4,,,,E-SO,,,,eF;vS;cE = 7831?,
NGC20,NGC6,GALXY,AND,0,9.5,33,19,13,13.8,89,4,1.7m,1.6m,140,E-SO,,,,F;*10 att,comp@ 3.8' PA122 0.5x0.2;B * 0.3' n
NGC27,UGC96,GALXY,AND,0,10.5,29,0,13.4,12.8,89,4,1.2m,0.5m,117,Sb,,,,eF;vS;E;B * nr,
NGC19,UGC98,GALXY,AND,0,10.7,32,59,14.1,99.9,89,4,1.1m,0.6m,42,SBbc Ring,,,,eeF;lE;3 vF st around,
NGC21,NGC29,GALXY,AND,0,10.8,33,21,12.7,12.6,89,4,1.5m,0.7m,154,SBbc,,,,eF;S;lE,
NGC29,NGC21,GALXY,AND,0,10.8,33,21,12.7,12.9,89,4,1.5m,0.7m,154,SBbc,,,,pB;pL;E 0 degrees,H II 853;UGC 100
NGC39,UGC114,GALXY,AND,0,12.3,31,4,13.5,13.6,89,4,1.1m,1m,,Sc,,,,vF;pS;R,H III 861
NGC43,UGC120,GALXY,AND,0,13,30,55,12.6,13.4,89,4,1.6m,1.5m,,SBO,,,,eF;* 12 np 45'',
NGC44,,2STAR,AND,0,13.2,31,17,99.9,99.9,89,4,,,,,,,,eF;vS,
NGC48,UGC133,GALXY,AND,0,14,48,14,13.6,13.7,59,4,1.6m,1m,15,SBbc,,,,eef;pL;R;v diffic,
NGC49,UGC136,GALXY,AND,0,14.4,48,15,13.7,13.7,59,4,1.1m,1m,165,SO,,,,eeF;S;R;2nd of 3,NGC 51 group;in group of 6;NGC 51 the brightest
NGC51,UGC138,GALXY,AND,0,14.6,48,15,13.1,13.2,59,4,1.7m,1.4m,20,S0 Pec,,,,pF;pS;R;bM,brightest in group of 6 including NGC 49 and NGC 48
NGC67,VV166,GALXY,AND,0,18.2,30,4,14.2,13.9,89,4,0.3m,0.2m,55,Elliptical,,,,eF;vS;R,
NGC67A,ZwG499.104,GALXY,AND,0,18.2,30,3,15.7,15.7,89,4,0.4m,0.2m,100,E5,,,,,
NGC68,UGC170,GALXY,AND,0,18.3,30,4,12.9,14.2,89,4,1.2m,1.1m,,E-SO,,,,eF;L;3 or 4 st+neb,H V 16;In compact group
NGC69,MCG5-1-66,GALXY,AND,0,18.3,30,2,14.8,14.2,89,4,0.5m,0.3m,45,E-SO Bar,,,,eF;vS;R,
NGC70,UGC174;IC1539,GALXY,AND,0,18.4,30,5,13.5,13.9,89,4,1.6m,1.4m,5,Sbc,,,,eF;vS;R;bet 2 F st,In compact group w NGC 68 and 71
NGC71,UGC173;VV166,GALXY,AND,0,18.4,30,4,13.2,13.4,89,4,1.5m,1.2m,90,S0 Pec,,,,eF;vS;R,In compact group
NGC72,UGC176;VV166,GALXY,AND,0,18.5,30,2,13.5,13.3,89,4,1.1m,0.9m,15,SBab,,,,eF;vS;R,In compact group
NGC72A,MCG5-1-70,GALXY,AND,0,18.6,30,2,14.7,12,89,4,0.3m,0.3m,,Elliptical,,,,,1' south of NGC 72;compact
NGC74,MCG5-1-71,GALXY,AND,0,18.8,30,4,16,99.9,89,4,0.8m,0.3m,130,Sb,,,,eF;S;E;last of 6,
NGC76,UGC185,GALXY,AND,0,19.6,29,56,13,12.7,89,4,1m,0.9m,80,Compact,,,,vF;S;bM,compact;complex nucl region
NGC79,MCG4-2-3,GALXY,AND,0,21,22,34,15,99.9,126,4,0.5m,0.5m,,E-SO,,,,vF;S;vlbM,Compact
NGC80,UGC203,GALXY,AND,0,21.2,22,21,12.1,13.2,126,4,2.2m,2m,,E-SO,,,,F;S;R;psbM,Brightest in group
NGC81,NPM1G+22016,GALXY,AND,0,21.2,22,23,16.4,99.9,126,4,0.2m,0.1m,90,S,,,,eeF;sp NGC 83,
NGC82,,1STAR,AND,0,21.3,22,28,14,99.9,126,4,,,,,,,,eF;stellar,
NGC83,UGC206,GALXY,AND,0,21.4,22,26,12.5,13.4,126,4,1.3m,1.2m,,E0,,,,E;biN;3 B st nr,NGC 80 group
NGC84,,1STAR,AND,0,21.4,22,37,17,99.9,126,4,,,,,,,,eF;st & neb,
NGC85A,NGC85,GALXY,AND,0,21.4,22,31,15.5,99.9,126,4,0.5m,0.5m,,S,,,,eeF;cL;R,
NGC85B,IC1546,GALXY,AND,0,21.5,22,30,15.5,99.9,126,4,0.9m,0.3m,120,Sbc,,,,,
NGC86,MCG4-2-9,GALXY,AND,0,21.5,22,33,15,99.9,126,4,0.7m,0.3m,5,S pec,,,,eF;vS;lbM,
NGC90,UGC208,GALXY,AND,0,21.9,22,24,14.5,99.9,126,4,1.9m,0.8m,132,SBc,,,,vF;lE,
NGC91,,1STAR,AND,0,21.9,22,22,13.7,14,126,4,,,,,,,,vF;vS;* 13 sp,Distorted;NGC 80 group
NGC93,UGC209,GALXY,AND,0,22.1,22,25,13.3,12.9,126,4,1.4m,0.6m,48,Sb,,,,vF;vS,Part of NGC 80 group
NGC94,ZwG479.17,GALXY,AND,0,22.2,22,29,15.5,99.9,126,4,0.4m,0.2m,20,S,,,,eF;vS,Northern of 2
NGC96,MCG4-2-14,GALXY,AND,0,22.3,22,33,17,99.9,126,4,0.7m,0.7m,,SO,,,,vF;S;vlbM,
NGC97,UGC216,GALXY,AND,0,22.5,29,45,12.3,13,90,4,1.5m,1.3m,,Elliptical,,,,F;vS;R;gbM,Compact
NGC108,UGC246,GALXY,AND,0,26,29,13,12.1,13.3,90,4,2m,1.6m,75,SBO-a,,,,pF;pL;R;pslbM,H III 148
NGC109,UGC251,GALXY,AND,0,26.2,21,48,13.7,13.8,126,4,1.1m,1m,77,SBa,,,,vF;S;3 st nr,f of 2
NGC112,UGC255,GALXY,AND,0,26.8,31,42,13.5,12.7,90,4,1m,0.5m,108,Sc,,,,eF;vS;R,
NGC140,UGC311,GALXY,AND,0,31.3,30,47,13.2,13.8,90,4,1.5m,1.2m,45,SBc Ring,,,,vF;S;R;gbM,
NGC149,UGC332,GALXY,AND,0,33.8,30,43,13.7,13.5,90,4,1.2m,0.7m,155,SO,,,,vF;vS;R;gbM*14;*12 sp,Compact
ANDIII,PGC2121,GALXY,AND,0,35.4,36,31,15,99.9,90,4,2.0m,2.0m,,dE2,,,,,Andromeda Dwarf;Member Local Group
NGC160,UGC356,GALXY,AND,0,36.1,23,57,12.6,14.3,126,4,2.9m,1.6m,45,Sa Ring,,,,vF;vS;stell;*8;17 degrees;4',H III 476;UGC 356
NGC162,,1STAR,AND,0,36.2,23,58,99.9,99.9,126,4,,,,,,,,eF;stellar;NGC 160 sp,
NGC169,UGC365;Arp282,GALXY,AND,0,36.9,23,59,13.2,99.9,126,4,1.8m,0.8m,88,Sb,,,,F;pL;D or biN;*6 nf 4',Contact P w IC 1559
NGC181,MCG5-2-32,GALXY,AND,0,38.4,29,28,15.5,99.9,90,4,0.7m,0.2m,160,S pec,,,,eF;eS;irr;vF * att,
NGC183,UGC387,GALXY,AND,0,38.5,29,31,12.7,14.1,90,4,2.1m,1.6m,130,Elliptical,,,,pF;vS;R;gbM,
NGC184,ZwG500.59,GALXY,AND,0,38.6,29,27,14.6,12.3,90,4,0.7m,0.2m,5,SO,,,,eF;eS,
NGC205,M110,GALXY,AND,0,40.4,41,41,8.1,14,60,4,19.5m,11.5m,170,SA0,,,HM,vB;vL;mE 165 degrees;vgvmbM,M31 Companion;UGC 426;H V 18; Member Local Group
NGC206,,G+C+N,AND,0,40.5,40,44,12.8,99.9,60,4,1.8m,0.6m,,Pec,,,,vF;vL;mE 0 degrees,H V 36;A star cloud in the south end of Andromeda Galaxy
NGC214,UGC438,GALXY,AND,0,41.5,25,30,12.3,13.1,126,4,1.9m,1.5m,35,SBc,,,,pF;pS;gvlbM;R,H II 209;UGC 438
NGC218,UGC440,GALXY,AND,0,41.7,36,22,14,14.1,90,4,1.1m,1.1m,,S pec,,,,eF;vS;R;gbM,
NGC221,M32,GALXY,AND,0,42.7,40,52,8.1,12.4,60,4,8.5m,6.5m,170,E2,,,M,vvB;L;R;psmbMN,Companion to M31; Member of Local Group
NGC224,M31,GALXY,AND,0,42.7,41,16,3.4,13.5,60,4,189m,61m,35,Sb,,,M,!!!eeB;eL;vmE,Local Group;Andromeda Galaxy;nearest spiral
NGC226,UGC459,GALXY,AND,0,42.9,32,35,13.3,13,90,4,0.9m,0.9m,,Pec,,,,eF;S;R;* 13 s 20'',
NGC228,UGC458,GALXY,AND,0,42.9,23,30,13.7,13.8,126,4,1.2m,1.1m,,SBab Ring,,,,eF;S;R;fainter of 2,2nd of 3
NGC229,MCG4-2-49,GALXY,AND,0,43.1,23,31,14.5,99.9,126,4,1m,0.4m,95,S pec,,,,vF;S;R;smaller of 2,
NGC233,UGC464,GALXY,AND,0,43.6,30,35,12.4,13.4,90,4,1.7m,1.6m,,Elliptical,,,,F;vS;R;lbM,H III 149
ANDI,PGC2666,GALXY,AND,0,45.7,38,3,13.2,99.9,90,4,4.0m,3.0m,156,E3,,,,,Andromeda Dwarf;Member Local Group
NGC243,MCG5-2-43,GALXY,AND,0,46,29,58,13.6,12.5,90,4,0.9m,0.4m,145,S pec,,,,F;vS;R;gbM;* 10 p,
NGC252,UGC491,GALXY,AND,0,48,27,37,12.4,12.8,126,4,1.4m,1m,80,Sa Ring,,,,pB;S;R;pmbM;r;** p,H II 609;Brightest in group;UGC 491
NGC258,MCG4-3-5,GALXY,AND,0,48.2,27,39,15,99.9,127,4,0.5m,0.4m,,Sb,,,,eF;S;vf * close,
NGC260,UGC497,GALXY,AND,0,48.6,27,41,13.5,13.2,127,4,0.8m,0.8m,,Scp,,,,eF;pS;lE,NGC 252 group
NGC262,UGC499;Mrk348,GALXY,AND,0,48.8,31,57,13.1,13.1,90,4,1.4m,1.4m,,Sa,,,,eF;vS;R;v diffic,
NGC272,OCL312,OPNCL,AND,0,51.4,35,49,8.5,99.9,90,4,,,,IV 1 p,8,9,,Cl;L;lC,
NGC280,UGC534,GALXY,AND,0,52.5,24,21,13.2,13.8,127,4,1.7m,1.1m,95,SB Ring,,,,eF;S;R;*15 f 30'',H III 477;distorted;asym ecc nucl region;UGC 534
NGC304,UGC573,GALXY,AND,0,56.1,24,8,13,12.6,127,4,1.1m,0.7m,175,S pec,,,,pF;S;R;svlbM,eruptive ?;sff of 2
NGC317A,NGC317-1,GALXY,AND,0,57.7,43,48,14.5,99.9,60,4,1.4m,1.3m,,SO,,,,eeF;pS;lE;D * close f,
NGC317B,NGC317-2,GALXY,AND,0,57.7,43,47,13.9,99.9,60,4,1.1m,0.5m,105,SBbc,,,,,
IC65,UGC625,GALXY,AND,1,0.9,47,41,12.8,14.3,60,4,3.9m,1.1m,155,SBbc,,,,eF;pL;mE;B star sf,
NGC389,UGC703,GALXY,AND,1,8.5,39,42,13.8,13,60,4,1.3m,0.4m,54,Sa,,,,eF;eS;R;* nr,
NGC393,UGC707,GALXY,AND,1,8.6,39,39,12.5,13.4,60,4,1.7m,1.4m,20,E-SO,,,,F;vS;vlE;gbM;4 S st nr,H I 54
NGC404,UGC718,GALXY,AND,1,9.4,35,43,10.3,12.8,91,4,4.3m,3.9m,,E0,,,H,pB;cL;R;gbM,H II 224;UGC 718;Beta AND sf 6'
NGC425,UGC758,GALXY,AND,1,13,38,46,12.6,12.4,91,4,1m,1m,,S pec,,,,vF;vS;R;lbM;* 11 att,
NGC431,UGC776,GALXY,AND,1,14.1,33,42,12.9,12.9,91,4,1.4m,0.9m,20,SBO,,,,F;S;vsbM,
NGC464,,2STAR,AND,1,19.4,34,57,99.9,99.9,91,4,,,,,,,,S,
NGC477,UGC886,GALXY,AND,1,21.3,40,29,13,13.9,61,4,2.2m,1.2m,135,SBc,,,,vF;pS;vlE;vglbM,H III 577;2 main arms split into several secondary arms;UGC 886
NGC512,UGC944,GALXY,AND,1,24,33,54,13.2,12.4,91,4,1.6m,0.4m,116,Sab,,,,vF;vS,
NGC513,UGC953,GALXY,AND,1,24.4,33,48,12.9,11.1,91,4,0.7m,0.3m,75,Sc,,,,F;S;stellar,H III 169;UGC 953
NGC523,NGC537,GALXY,AND,1,25.3,34,1,12.7,13.2,91,4,2.5m,0.7m,108,Sbc,,,,Dneb;vF;vS; pos 90 deg; dist 30'',H III 170?;Peculiar;UGC 979
NGC537,NGC523,GALXY,AND,1,25.3,34,1,13.5,99.9,91,4,2.5m,0.7m,108,Sbc,,,,stellar;(=523),H III 170
NGC528,UGC988,GALXY,AND,1,25.6,33,40,12.5,13.1,91,4,1.7m,1.1m,55,SO,,,,F;pL;R;lbM,
NGC529,UGC955,GALXY,AND,1,25.7,34,43,12.1,13.8,91,4,2.4m,2.1m,160,E-SO,,,,pB;vS;sbM;p of 2,
NGC531,UGC1012,GALXY,AND,1,26.3,34,45,13.8,13.6,91,4,1.8m,0.5m,34,SBO-a,,,,F;S;R,
NGC536,UGC1013,GALXY,AND,1,26.4,34,42,12.4,13.4,91,4,3m,1.1m,62,SBb,,,,pB;pL;gbM;f of 2,H III 171;UGC 1013
NGC542,MCG6-4-22,GALXY,AND,1,26.5,34,41,14.7,12.9,91,4,1m,0.2m,135,Sb,,,,eF;diffic,
NGC551,UGC1034,GALXY,AND,1,27.7,37,11,12.7,12.9,91,4,1.8m,0.8m,140,SBbc,,,,vF;S;E;vglbM;*13 nr,H III 560
NGC561,UGC1048,GALXY,AND,1,28.3,34,18,12.9,13.7,91,4,1.6m,1.5m,,SBa,,,,eF;pL;R,
NGC562,UGC1049,GALXY,AND,1,28.5,48,23,13.3,13.4,61,4,1.3m,1.1m,20,Sc,,,,eF;pS;R;D* nr S,
NGC573,UGC1078,GALXY,AND,1,30.8,41,15,13.1,10.9,61,4,0.4m,0.4m,,Pec,,,,vF;vS;R;gbM,Peculiar
NGC591,UGC1111,GALXY,AND,1,33.5,35,40,12.9,13,91,4,1.3m,1m,5,SBO-a,,,,eF;pS;R;lbM;B* sf,
NGC590,UGC1109,GALXY,AND,1,33.7,44,56,12.9,14.1,61,4,2.6m,1.3m,150,SBO-a,,,,F;vS;(rr),sff of 2
NGC605,UGC1128,GALXY,AND,1,35,41,15,12.9,13.8,61,4,2.2m,1.1m,145,SO,,,,vF;vS;R;bM,
NGC620,UGC1150,GALXY,AND,1,37,42,19,14,99.9,61,4,1m,0.9m,,Compact,,,,eF;vS;R;lbM,peculiar
PK130-11.1,M1-1,PLNNB,AND,1,37.3,50,28,14.3,9.1,37,1,6s,,,,,16.2,,,
NGC653,UGC1193,GALXY,AND,1,42.4,35,38,13.4,12.1,92,4,1.5m,0.2m,39,Sab,,,,vF;pL;mE;lbM;sev * inv,
NGC662,UGC1220,GALXY,AND,1,44.6,37,42,12.9,11.8,92,4,0.8m,0.5m,20,Sc,,,,F;S;R;mbM,Peculiar
NGC668,UGC1238,GALXY,AND,1,46.4,36,28,13.1,13.8,92,4,1.8m,1.2m,30,Sb,,,,pF;pS;R;gbM,
NGC679,UGC1283,GALXY,AND,1,49.7,35,47,12.3,13.8,92,4,2.1m,2.1m,,SO,,,,F;stellar,H III 175
NGC687,UGC1298,GALXY,AND,1,50.6,36,22,12.3,12.9,92,4,1.4m,1.4m,,SO,,,,vF;stellar,H III 561
NGC700,ZwG522.30,GALXY,AND,1,52.3,36,2,14.4,13.2,92,4,0.8m,0.7m,,SO,,,,eF;vS;R;sp 703,
NGC704,UGC1343,GALXY,AND,1,52.6,36,8,14,99.9,92,4,0.6m,0.4m,85,S pec,,,,vF;vS;R;2nd of 4,H III 563;Double system;Symbiotic
Abell262,,GALCL,AND,1,52.7,36,9,13,99.9,92,4,100.8m,,,0 1 III,,,,,Includes NGC 708 and 753;rather loose and irregular; 40 galaxies
NGC703,UGC1346,GALXY,AND,1,52.7,36,10,13.3,13.2,92,4,1.2m,0.9m,50,SO,,,,vF;vS;R;1st of 4,H III 562;NGC 708 group
NGC705,UGC1345,GALXY,AND,1,52.7,36,9,13.6,12.3,92,4,1.2m,0.3m,117,Sa,,,,vF;vS;R;3rd of 4,H III 564;NGC 708 group
NGC708,UGC1348,GALXY,AND,1,52.8,36,9,12.7,14.9,92,4,3m,2.5m,35,E2,,,,F;pL;bM;4th of 4,H III 565;Brightest in group which incl NGC 703-4-5
NGC709,ZwG522.40,GALXY,AND,1,52.8,36,13,14.3,99.9,92,4,1m,0.5m,130,S,,,,vF;pS;bet 2*;group sp,
NGC710,UGC1349,GALXY,AND,1,52.9,36,3,13.7,14,92,4,1.3m,1.2m,,Sc,,,,vF;pS;2*S,
NGC712,UGC1352,GALXY,AND,1,53.1,36,49,12.8,12.9,92,4,1.3m,1m,85,SO,,,,vF;R;am pB stars,
NGC714,UGC1358,GALXY,AND,1,53.5,36,13,13.1,12.3,92,4,1.5m,0.4m,112,Sa,,,,F;vS;R;2*13 p & np,
NGC717,UGC1363,GALXY,AND,1,53.9,36,14,13.9,12.5,92,4,1.3m,0.2m,117,Sa,,,,vF;pS;*15 sf 1',
NGC721,UGC1376,GALXY,AND,1,54.8,39,23,13.5,13.9,61,4,1.7m,1m,135,SBbc,,,,eF;pL,
UGC1385,Mrk2,GALXY,AND,1,54.9,36,55,13.4,12.3,92,4,0.8m,0.7m,170,SBa,,,,,brightest of 3
NGC732,UGC1406,GALXY,AND,1,56.5,36,48,13.5,13.8,92,4,1.4m,1m,10,SO,,,,vF*Inv vF;vS;R;neby,
NGC752,OCL363,OPNCL,AND,1,57.7,37,40,5.7,99.9,92,4,50m,,,III 1 m,60,9,CH,Cl;vvL;Ri;*L & S;C,H VII 32;Best in RFT or binocs;Ir scattered cl 70* mags 8...
NGC753,UGC1437,GALXY,AND,1,57.7,35,55,12.3,13.9,92,4,2.5m,2m,125,SBbc,,,,pB;pL;R;gmbM,P w NGC 759
NGC759,UGC1440,GALXY,AND,1,57.8,36,21,12.7,13.6,92,4,1.8m,1.8m,,EO,,,,Cl;vS;R,P w NGC 753
NGC746,UGC1438,GALXY,AND,1,57.9,44,55,13,13.9,61,4,1.9m,1.3m,90,Ir,,,,vF;pS;lE;sev * nr,
NGC797,UGC1541,GALXY,AND,2,3.5,38,7,12.6,13.3,92,4,1.6m,1.3m,65,SBa,,,,vF;S;iR;sbM;* nr,H III 566;double nebula
NGC801,UGC1550,GALXY,AND,2,3.7,38,16,13.1,13.8,92,4,3.1m,0.7m,150,Sc,,,,eF;pS;iR;D* close f,P w NGC 797
NGC812,UGC1598,GALXY,AND,2,6.9,44,34,11.2,12.8,62,4,3m,1.3m,160,Sbc,,,,eF;pL;E45;bM,Peculiar
NGC818,UGC1633,GALXY,AND,2,8.7,38,47,12.5,13.8,92,4,2.9m,1.2m,113,SBbc,,,,pB;cL;lE;mbM,H II 604
NGC828,UGC1655,GALXY,AND,2,10.2,39,11,12.3,14.1,62,4,2.9m,2.2m,145,Sap,,,,pB;S;iR;D* f 15'',H II 605;Peculiar
NGC834,UGC1672,GALXY,AND,2,11,37,40,13.1,12.3,92,4,1.1m,0.5m,20,Sbc,,,,vF;S;lE,H III 567
NGC841,UGC1676,GALXY,AND,2,11.3,37,30,12.6,13.1,92,4,1.8m,1m,135,SBab,,,,pB;vS;mbMN=*13;14,
NGC846,NGC847,GALXY,AND,2,12.2,44,34,12.1,13.3,62,4,1.9m,1.7m,140,SBab,,,,eF;vS;R;gbM,
NGC847,NGC846,GALXY,AND,2,12.2,44,34,13.1,99.9,62,4,1.9m,1.7m,140,SBab,,,,vF;pL;R,
NGC845,UGC1695,GALXY,AND,2,12.3,37,29,13.5,12.9,92,4,1.7m,0.4m,149,Sb,,,,vF;iF;stellar,H III 604
NGC891,UGC1831,GALXY,AND,2,22.6,42,21,9.9,13.6,62,4,13.1m,2.8m,22,Sb,,,BCH,B;vL;vmE22,H V 19;NGC 1023 group;Lord Rosse drawing shows dark lane
NGC898,UGC1842,GALXY,AND,2,23.3,41,57,12.9,12.7,62,4,1.8m,0.4m,170,Sab,,,,eF;vS;lE,H III 570
Abell347,,GALCL,AND,2,25.1,41,52,13,99.9,62,4,56m,,,0 1 II-III,,,,13''-2 gals F;pS;R;nBM;6 others vF;S at 165X,0.5 degrees south preceding NGC 891; 32 galaxies
NGC906,UGC1868,GALXY,AND,2,25.3,42,5,12.9,13.9,62,4,1.8m,1.6m,,SBab,,,,eF;iE,
NGC909,UGC1872,GALXY,AND,2,25.4,42,2,13.3,13,62,4,0.9m,0.9m,,Elliptical,,,,vF;vS;vS* inv,
NGC910,UGC1875,GALXY,AND,2,25.4,41,49,12.2,13.7,62,4,2m,2m,,SO,,,,vF;pS;stellar,H III 571
NGC911,UGC1878,GALXY,AND,2,25.7,41,57,12.7,13.2,62,4,1.7m,0.9m,115,Elliptical,,,,eF;vS;R;bM,
NGC912,MCG7-6-15,GALXY,AND,2,25.7,41,47,15,99.9,62,4,0.9m,0.8m,,E-SO,,,,F;vS;R;bM,very compact
NGC913,,GALXY,AND,2,25.7,41,48,15.8,99.9,62,4,0.5m,0.2m,20,SO,,,,eF;vS;lbM,
NGC914,UGC1887,GALXY,AND,2,26.1,42,9,13,13.7,62,4,1.8m,1.3m,117,Sc,,,,eF;pL;dif,
NGC923,UGC1915,GALXY,AND,2,27.6,41,59,13.7,12.6,62,4,0.8m,0.6m,95,Sb,,,,vF;S;R;gsBM,2nd of 3
NGC920,UGC1920,GALXY,AND,2,27.9,45,57,13.9,14.3,62,4,1.5m,1.1m,10,SBab,,,,eF;eS;R;1or2 eF* nr,IC 1799 group
NGC933,UGC1956,GALXY,AND,2,29.3,45,55,13.8,13.8,62,4,1.3m,0.9m,35,S,,,,eF;eS;R;B* nf,IC 1799 group
NGC937,UGC1961,GALXY,AND,2,29.5,42,15,14.2,13.4,62,4,1.1m,0.5m,117,SBc,,,,vF* slightly neb,
NGC946,UGC1979,GALXY,AND,2,30.6,42,14,13.2,13.5,62,4,1.5m,1m,65,SO,,,,F;S;R;glbM,Compact
NGC956,OCL377,OPNCL,AND,2,32.5,44,36,8.9,99.9,62,4,8m,,,IV 1 p,30,9,,Cl;pRi;*9...15,
UGC2034,PGC9759,GALXY,AND,2,33.7,40,32,13.1,15.1,62,4,3.1m,2.5m,170,Ir+,,,,13''-eF;pS;E 1.5X1; PA 0; nBM; *10m E tip,
NGC980,UGC2063,GALXY,AND,2,35.3,40,56,13,13.4,62,4,1.7m,0.9m,110,SO,,,,vF;pS;sp of 2,H III 572
NGC982,UGC2066,GALXY,AND,2,35.4,40,52,12.5,12.2,62,4,1.5m,0.6m,132,Sa,,,,F;S;nf of 2,H III 573
IC239,UGC2080,GALXY,AND,2,36.5,38,58,11.1,14.2,93,4,4.6m,4.2m,,SBa,,,,vF spiral;F stellar nucleus,In NGC 1023 group;vsBN in smooth bar;low surface br
NGC995,UGC2118,GALXY,AND,2,38.5,41,32,13.4,14,62,4,1.7m,1.2m,35,SO,,,,vF;vS,
NGC996,UGC2123,GALXY,AND,2,38.7,41,39,13,13.8,62,4,1.4m,1.4m,,Elliptical,,,,vF;vS,
NGC999,IC240,GALXY,AND,2,38.8,41,40,13.5,13.1,62,4,0.9m,0.8m,0,SBa,,,,eF,
NGC1000,MCG7-6-48,GALXY,AND,2,38.8,41,28,15.5,99.9,62,4,0.8m,0.8m,,Compact,,,,1637;pS;dif,compact
NGC7440,UGC12276,GALXY,AND,22,58.5,35,48,13.5,13.9,123,9,1.4m,1.1m,,SBa,,,,eF;S;iR,
NGC7445,MCG6-50-15,GALXY,AND,22,59.4,39,6,15.6,99.9,88,9,0.7m,0.2m,90,E-SO,,,,eF;vS,
NGC7446,ZwG515.17,GALXY,AND,22,59.5,39,5,15.7,99.9,88,9,0.8m,0.8m,,Elliptical,,,,eF;vS;R;r,
NGC7449,UGC12292,GALXY,AND,22,59.6,39,9,14,13.7,88,9,1m,0.7m,130,Elliptical,,,,vF;S;R;vS* in centre,UGC 12292;Core mag=15.7
NGC7618,UGC12516,GALXY,AND,23,19.8,42,51,13,13.2,88,9,1.2m,1m,5,Elliptical,,,,F;S;R;gbM,
NGC7640,UGC12554,GALXY,AND,23,22.1,40,51,11.3,14.5,88,9,10m,1.9m,167,SBbc,,,,cF;L;mE164;vlbM;r,H II 600;nearly edge on spiral
PK107-13.1,Vy2-3,PLNNB,AND,23,23,46,54,13.9,7.8,88,9,4.6s,4.5s,,2,,14.7,,,
UGC12588,MCG+07-48-005,GALXY,AND,23,24.7,41,20,13.2,14.2,88,9,1.9m,1.9m,,Sdm,,,,,
NGC7662,PK106-17.1,PLNNB,AND,23,25.9,42,32,8.6,5.6,88,9,17s,14s,,4(3),,14,BCH,!!! Planetary or annular neb;vB;pS;R;blue,Blue Snowball Nebula;H IV 18;Barnard-cent * variable?
UGC12632,PGC71596,GALXY,AND,23,30,41,0,12.1,15.1,88,9,4.9m,3.9m,13,Sm,,,,,
NGC7686,OCL251,OPNCL,AND,23,30.1,49,8,5.6,99.9,88,9,15m,,,IV 1 p,20,6.2,H,Cl;P;lC;st 7...11,H VIII 69;12* mags 8...13
NGC7707,UGC12683,GALXY,AND,23,34.9,44,18,13.4,13.6,88,9,1.3m,1.1m,,E-SO,,,,eF;S;R;*9-10 p;vnr,H III 579
Av-Hunter1,,OPNCL,AND,23,37.8,48,34,99.9,99.9,59,9,47m,,,IV 2pn:b,16,8.6,,,Includes variable star BM And
PK110-12.1,K1-20,PLNNB,AND,23,39.1,48,13,16.5,99.9,59,9,37s,31s,,4,,20,,,13''-could not find; even with UHC filter
MCG+08-01-016,,GALXY,AND,23,59.2,46,53,12,99.9,59,9,1.0m,0.8m,,,,,,Inner Regions Completely Black--MCG,Face On
MCG+08-01-018,,GALXY,AND,23,59.9,47,16,12,99.9,59,9,0.4m,0.3m,,,,,,Inner Regions Very Black--MCG,Mostly Face On
NGC2904,ESO434-6,GALXY,ANT,9,30.3,-30,23,12.4,12.6,364,20,1.5m,1m,90,E-SO Bar,,,,F;S;lE;psbM,
ESO373-G008,,GALXY,ANT,9,33.3,-33,2,12,13.6,364,20,5.8m,0.9m,89,Sc,,,,,
PK248+8.1,He2-10,GALXY,ANT,9,36.2,-26,24,99.9,99.9,323,20,0.2m,,,,,,,,Not a PLNNB;dwarf GALXY w emission lines
NGC2973,,3STAR,ANT,9,41.6,-30,3,99.9,99.9,365,20,,,,,,,,eF;pS;*8 f,
NGC2997,ESO434-35,GALXY,ANT,9,45.6,-31,11,9.4,13.7,365,20,9.2m,6.6m,110,SBc,,,,! vF;vL;vgvsbMN 4'';19s.5 d,H V 50
NGC3001,ESO434-38,GALXY,ANT,9,46.3,-30,26,11.9,13.7,365,20,2.9m,2m,6,SBbc Ring,,,,F;S;R;*12 att nf,
IC2511,IC2512,GALXY,ANT,9,49.4,-32,50,12.1,12.5,365,20,2.9m,0.6m,38,SBab,,,,pB;pS;eE;*7 np; np of 2,
NGC3038,ESO374-2,GALXY,ANT,9,51.3,-32,45,11.6,12.7,365,20,2.5m,1.4m,130,Sb,,,,pB;pS;R,
