object,other,type,con,ra_hr,ra_min,dec_deg,dec_min,mag,subr,urano,ti,size_max,size_min,pa,class,nsts,brstr,bchm,ngc descr,notes
NGC6356,GCL62,GLOCL,OPH,17,23.6,-17,49,8.2,99.9,338,15,3.5m,,,II,,15,H,vB;cL;vgvmBM;rrr,H I 48
NGC6355,GCL63,GLOCL,OPH,17,24,-26,21,8.6,99.9,338,22,6.1m,,,,,,H,cF;L;R;gbM;rrr,H I 46
NGC6360,ESO454-**20,ASTER,OPH,17,24.5,-29,52,99.9,99.9,376,22,,,,,,,,neby in patches;Milky Way,
PK357+3.1,M3-7,PLNNB,OPH,17,24.6,-29,24,14.9,99.9,376,22,7s,6s,,2,,16.4,,,
PK358+4.1,M3-8,PLNNB,OPH,17,24.9,-28,6,14,99.9,376,22,5.6s,5.4s,,2,,,,,
B76,,DRKNB,OPH,17,25,-24,24,79.9,79.9,338,22,,,,4 Ir,,,,,Irregular; narrow black strip; 30' long E and W
B74,LDN81,DRKNB,OPH,17,25.2,-24,12,79.9,79.9,338,22,15m,10m,,5 Ir,,,,,15' preceding 44 Oph
B75,LDN112,DRKNB,OPH,17,25.3,-22,28,79.9,79.9,338,22,110m,5m,,5 Ir,,,,,Two arcs 1 deg north following B72
PK359+5.2,M3-9,PLNNB,OPH,17,25.7,-26,12,15,99.9,338,22,18s,16s,,3,,18,,,
PK357+3.4,M3-42,PLNNB,OPH,17,27,-29,16,16.9,99.9,376,22,5.0s,,,2,,,,,
IC1257,OCL51,GLOCL,OPH,17,27.1,-7,6,12.5,99.9,293,15,1m,,,V,,17.5,,vS;F;vC,Identified as distant globular cluster in 1996
NGC6368,UGC10856,GALXY,OPH,17,27.2,11,33,12.3,13.6,203,15,3.8m,1m,42,Sb,,,,F;S;E,
PK358+3.2,He2-226,PLNNB,OPH,17,27.6,-28,31,16,99.9,376,22,5s,,,1,,,,,
NGC6366,GCL65,GLOCL,OPH,17,27.7,-5,5,9.5,99.9,248,15,5.8m,,,XI,,13.6,,F;L;vlbM,
B77,LDN69,DRKNB,OPH,17,28,-23,22,79.9,79.9,338,22,100m,60m,,3 Ir,,,,,Faint extension of bowl of Pipe nebula
PK1+5.1,Haro1-14,PLNNB,OPH,17,28.1,-24,25,16.2,99.9,338,22,7.0s,,,2,,,,,
UGC10862,PGC60346,GALXY,OPH,17,28.2,7,26,12.7,14.7,203,15,2.7m,2.4m,40,SB(rs)c,,,,,
Tr26,Cr331,OPNCL,OPH,17,28.5,-29,30,9.5,99.9,376,22,7m,,,III 2 p,40,,,13''-pB;L;nC;sRi at 100X; 32*,
PK1+5.2,Haro1-15,PLNNB,OPH,17,28.6,-24,51,16.3,99.9,338,22,5.0s,,,2,,16.3,,,
PK358+3.1,M3-10,PLNNB,OPH,17,28.7,-28,27,13.6,99.9,376,22,3.5s,3s,,2,,,,,same as PK358+ 3.3
PK6+8.1,M1-20,PLNNB,OPH,17,29,-19,16,13.4,99.9,338,15,7.0s,,,1,,17.1,,,
NGC6369,PK2+5.1;HIV11,PLNNB,OPH,17,29.3,-23,46,11,10.5,338,22,30s,29s,,4(2),,15.1,B H,Annular;pB;S;R,Little Ghost Nebula
PK0+4.2,He2-231,PLNNB,OPH,17,29.4,-26,26,15.5,99.9,338,22,5s,,,1,,,,,
PK357+2.4,Haro1-18,PLNNB,OPH,17,29.7,-29,33,16.4,99.9,376,22,2s,,,1,,,,,
PK358+3.7,He2-233,PLNNB,OPH,17,29.7,-28,40,15.3,99.9,376,22,5s,,,1,,,,,
PK358+3.4,He2-237,PLNNB,OPH,17,30,-27,59,17.5,99.9,338,22,1s,,,1,,,,,
NGC6378,UGC10884,GALXY,OPH,17,30.7,6,17,13.4,13.4,203,15,1.3m,0.9m,5,Sbc,,,,v difficult,
PK358+3.6,Haro1-20,PLNNB,OPH,17,30.7,-28,4,15.9,99.9,376,22,4.5s,3.6s,,2,,,,,
PK359+3.2,He2-239,PLNNB,OPH,17,30.8,-27,6,19.6,99.9,338,22,7.0s,,,,,,,,
HP1,,GLOCL,OPH,17,31.1,-29,59,12.5,99.9,376,22,1.2m,,,,,16,,,
PK358+3.8,The3-26,PLNNB,OPH,17,31.2,-28,15,16.9,99.9,376,22,6s,,,,,16.5,,,
PK16+13.1,Abell42,PLNNB,OPH,17,31.5,-8,19,17.8,99.9,293,15,60s,57s,,2b,,20.3,,,
B268,LDN178,DRKNB,OPH,17,32,-20,32,79.9,79.9,338,22,120m,,,5 Ir,,,,,Irregular dark shape; round in NE part of B268
NGC6384,UGC10891,GALXY,OPH,17,32.4,7,4,10.4,13.8,203,15,5.8m,3.8m,30,SBbc,,,,pB;S;vlE,sBN in faint bar
B270,LDN185,DRKNB,OPH,17,32.7,-19,35,79.9,79.9,338,22,11m,,,5,,,,,Round; diam. 11'; in NE part of B 268
PK357+1.1,He2-242,PLNNB,OPH,17,32.8,-30,0,15.6,99.9,376,22,2.8s,,,2,,,,,
B78,LDN42,DRKNB,OPH,17,33,-25,36,79.9,79.9,338,22,200m,140m,,Ir,,,,,2.5 deg south following Theta OPH;Bowl of Pipe nebula
PK4+6.2,Haro1-24,PLNNB,OPH,17,33.6,-21,46,16.2,99.9,338,22,8.5s,,,2,,,,,
PK3+5.1,Haro2-15,PLNNB,OPH,17,34.4,-22,53,17.3,99.9,338,22,5s,4s,,2,,,,,
PK0+3.1,He2-250,PLNNB,OPH,17,34.9,-26,36,17.1,99.9,338,22,5.0s,,,2,,,,,
PK7+7.1,M1-22,PLNNB,OPH,17,35.2,-18,34,13.3,99.9,338,15,9.3s,8.7s,,4,,21,,,
