HIP,RA,DEC,V,PARX,SIGPX,B-V,SIGBV,CCDM,HD,BD
342,00 04 18.90,-20 34 07.5,9.6,7.92,1.55,0.549,0.03,          ,225198,B-21 6524 
348,00 04 21.30,+12 57 25.4,8.6,16.79,1.13,0.64,0.015,          ,225194,B+12 5061 
350,00 04 23.80,-57 19 22.3,10.37,21.14,1.62,1.1,0.02,          ,      ,          
351,00 04 24.60,-47 04 05.3,9.8,22.52,1.48,0.855,0.006,          ,225208,          
356,00 04 30.10,-06 57 55.2,8.43,9.89,1.1,0.611,0.015,          ,225211,B- 7 6142 
392,00 04 51.90,+30 05 09.4,7.93,10.47,1.53,0.478,0.014,00049+3005,225260,B+29 5057 
400,00 04 56.00,+23 16 10.7,7.82,39.06,0.93,0.755,0.013,          ,225261,B+22 4950 
403,00 04 56.90,-18 10 42.6,8.97,11.56,1.31,0.674,0.019,          ,225280,B-18 6421 
404,00 04 57.50,+45 40 26.2,7.47,14.53,1.21,0.55,0.015,00050+4540,225291,B+44 4549 
407,00 04 58.60,-70 12 43.9,8.13,22.09,0.71,0.71,0.015,          ,225299,          
409,00 04 59.00,-70 29 32.7,8.41,8.49,0.77,0.461,0.015,          ,225300,          
413,00 05 02.40,-36 00 55.0,7.73,19.78,0.87,0.537,0.005,          ,225297,          
416,00 05 03.40,+01 02 16.2,8.84,8.73,1.17,0.759,0.02,          ,225294,B+ 0 5085 
420,00 05 07.60,-52 09 05.1,7.53,23.9,0.85,0.577,0.006,          ,23,          
428,00 05 10.10,+45 47 13.0,9.95,86.98,1.41,1.472,0.019,          ,      ,B+44 4548 
429,00 05 10.10,+02 23 50.3,8.69,11.12,1.22,0.644,0.019,          ,5,B+ 1 4825 
436,00 05 17.80,-67 49 52.4,8.49,62.48,0.82,1.076,0.018,          ,55,          
449,00 05 22.70,-33 29 57.9,9.16,9.89,1.18,0.782,0.02,          ,52,          
459,00 05 28.30,-61 13 32.4,8.82,18.57,0.95,0.666,0.016,          ,67,          
460,00 05 28.70,+22 13 28.8,9.13,22.2,1.14,0.735,0.025,          ,40,B+21 5026 
462,00 05 31.10,-09 37 02.3,7.13,19.81,0.94,0.446,0.008,          ,63,B-10 6227 
467,00 05 35.10,-47 34 09.5,9.73,6.89,1.46,0.725,0.03,          ,78,          
481,00 05 44.00,-36 46 42.4,10.15,7.28,1.45,0.677,0.039,          ,      ,          
486,00 05 49.60,-52 49 12.4,9.37,6.18,1.34,0.507,0.016,          ,106,          
487,00 05 50.90,+78 44 18.3,9.44,11.21,1.34,0.617,0.126,00059+7844,      ,B+77  936 
488,00 05 51.00,-68 33 04.6,9.99,7.92,1.61,0.646,0.041,00058-6833,121,          
489,00 05 51.80,+02 45 52.7,10.38,13.23,1.74,0.782,0.065,          ,      ,B+ 1 4827 
492,00 05 54.80,-14 25 57.8,9.57,6.5,1.46,0.51,0.02,00059-1426,      ,B-15 6542 
493,00 05 54.80,+18 14 07.3,7.45,26.24,0.82,0.596,0.01,          ,101,B+17 5035 
495,00 05 55.50,+18 04 34.4,8.58,25.77,2.07,0.92,0.01,00059+1805,113,B+17 5036 
509,00 06 05.20,-31 26 39.6,9.67,13.05,1.67,0.633,0.031,          ,129,          
517,00 06 15.30,-55 29 55.3,8.89,5.95,1.14,0.476,0.016,          ,152,          
524,00 06 19.90,-12 01 01.9,8.75,7.24,1.32,0.487,0.016,          ,148,B-12 6611 
530,00 06 25.90,+42 45 09.9,8.35,8.11,0.91,0.624,0.015,          ,153,B+41 4937 
532,00 06 26.80,-74 24 04.0,9.85,4.6,1.18,0.526,0.015,          ,183,          
