HIP,RA,DEC,V,PARX,SIGPX,B-V,SIGBV,CCDM,HD,BD
19987,04 17 13.40,-07 23 39.3,9.67,11.43,1.57,0.755,0.042,          ,      ,B- 7  788 
19998,04 17 19.40,+69 30 08.2,9.27,5.46,1.3,0.539,0.017,          ,      ,B+69  246 
20002,04 17 20.10,-36 51 01.1,9.04,20.4,1.06,0.797,0.026,          ,27328,          
20008,04 17 23.30,+62 35 21.7,8.35,7.69,2.01,0.561,0.015,04174+6235,26717,B+62  669 
20009,04 17 24.00,-45 55 56.4,10.82,14.27,1.34,0.991,0.005,          ,      ,          
20023,04 17 40.90,+59 06 31.4,8.55,7,1.12,0.469,0.016,          ,26791,B+58  726 
20024,04 17 41.10,-35 58 01.2,9.81,13.23,2.03,0.915,0.051,04177-3558,27363,          
20026,04 17 43.30,-65 42 36.1,8.88,6.44,0.8,0.514,0.017,          ,27690,          
20028,04 17 44.80,+52 22 21.7,9.55,8.85,1.38,0.51,0.015,          ,232931,B+52  802 
20029,04 17 45.00,-05 08 48.2,8.91,13.39,1.25,0.498,0.021,          ,27216,B- 5  871 
20052,04 18 00.10,-45 39 04.3,7.53,17.96,0.6,0.629,0.017,          ,27471,          
20060,04 18 06.40,-24 03 37.1,8.41,11.47,1.12,0.498,0.015,          ,27353,          
20061,04 18 06.80,-39 34 25.7,9,5.17,0.97,0.458,0.022,          ,27440,          
20073,04 18 14.90,+00 13 38.6,8.52,9.91,1.14,0.635,0.024,          ,27251,B- 0  678 
20074,04 18 15.20,-52 54 09.0,7.75,13.42,0.6,0.466,0.006,          ,27553,          
20077,04 18 18.10,-38 10 54.2,8.9,8.67,0.9,0.495,0.015,          ,27455,          
20082,04 18 19.20,+16 05 18.2,9.57,20.01,1.91,0.98,0.005,          ,285690,B+15  609 
20084,04 18 20.70,+20 21 37.7,10.46,25.45,2.43,1.285,0.213,          ,284338,B+19  693 
20093,04 18 28.70,-10 27 42.2,9.8,26.82,1.54,1.047,0.004,          ,      ,B-10  887 
20136,04 19 01.10,+21 17 58.0,8.2,9.99,1.11,0.45,0.015,04190+2118,27249,B+20  731 
20142,04 19 05.70,-04 08 55.6,10.62,35.16,1.84,1.654,0.143,          ,      ,B- 4  797 
20152,04 19 11.10,-33 10 53.3,9.75,6.4,1.37,0.576,0.034,          ,27510,          
20167,04 19 19.80,-44 46 47.7,9.74,3.83,1.08,0.451,0.029,          ,27602,          
20168,04 19 21.70,-41 57 42.1,8.99,15.79,0.93,0.638,0.02,          ,27577,          
20180,04 19 32.50,-50 36 53.2,9.81,4.51,1.05,0.491,0.031,          ,27681,          
20181,04 19 33.70,+21 03 54.7,8.6,7.72,2.01,0.627,0.035,04196+2104,27310,B+20  735 
20184,04 19 34.20,-28 47 11.0,8.16,16.3,0.87,0.641,0.015,          ,27530,          
20187,04 19 36.70,+12 37 27.7,9.81,20.13,2.02,0.924,0.009,          ,286693,B+12  576 
20199,04 19 45.50,-41 57 36.1,8.26,22.45,0.78,0.682,0.015,          ,27631,          
20200,04 19 46.30,+44 12 26.1,9.42,7.12,1.39,0.543,0.028,          ,      ,B+43  944 
20206,04 19 47.90,-18 31 11.1,7.99,10.42,1.06,0.448,0.015,          ,27500,B-18  806 
20227,04 20 06.20,+31 08 27.9,8.87,16.93,1.81,0.807,0.023,04201+3108,27323,B+30  653 
20232,04 20 10.40,-14 45 40.8,9.78,32.74,1.65,1.209,0.011,          ,      ,B-15  767 
20233,04 20 11.30,-04 29 35.3,9.01,7.14,1.23,0.599,0.02,          ,27486,B- 4  800 
20240,04 20 14.20,-09 02 13.3,9.81,32.25,1.65,1.12,0.015,          ,      ,B- 9  872 
20253,04 20 24.60,+12 23 49.3,9.29,8.17,1.49,0.467,0.037,          ,286699,B+12  578 
20267,04 20 40.90,-01 44 23.0,8.61,8.59,1.36,0.589,0.025,          ,      ,B- 2  873 
20273,04 20 43.90,+08 24 33.6,8.95,10.81,1.75,0.83,0.037,          ,27496,B+ 8  671 
20277,04 20 46.80,-59 24 41.4,9.36,23.6,0.91,1.003,0.002,          ,27894,          
20279,04 20 47.10,+64 53 10.9,8.57,8.78,1.1,0.435,0.016,          ,27037,B+64  434 
20295,04 20 57.10,-68 06 09.4,9.42,7.27,0.85,0.576,0.025,          ,28109,          
20311,04 21 04.00,+83 54 05.7,8.71,8.84,0.81,0.459,0.021,          ,      ,B+83  100 
20316,04 21 08.00,-31 11 45.5,8.98,12.45,1.14,0.602,0.019,          ,27711,          
20331,04 21 21.50,-48 29 56.4,9.14,12.89,0.89,0.672,0.022,          ,27845,          
20335,04 21 23.60,-46 50 32.4,9.57,9.59,1.08,0.544,0.026,          ,27825,          
20342,04 21 28.60,-20 54 55.5,8.78,27.46,1.87,0.939,0.003,04215-2055,27701,B-21  848 
20351,04 21 32.20,-24 17 31.2,9.09,7.61,1.25,0.793,0.016,          ,27724,          
20352,04 21 32.80,+16 48 11.6,9.17,6.46,1.48,0.554,0.037,          ,285683,B+16  581 
20359,04 21 35.90,+48 20 13.1,9.63,32.58,1.95,1.166,0.002,          ,      ,B+47  977 
20365,04 21 41.50,-42 35 54.1,8.85,9.32,0.83,0.608,0.017,          ,27824,          
20368,04 21 42.40,-30 12 31.1,9.89,5.16,1.32,0.551,0.03,          ,27767,          
20369,04 21 42.50,+19 28 06.7,8.37,11.96,1.13,0.445,0.015,          ,27560,B+19  704 
20373,04 21 46.30,+02 23 25.6,6.92,16.12,1.03,0.571,0.015,          ,27642,B+ 2  692 
20378,04 21 49.90,-50 00 15.4,9.14,9.33,0.89,0.609,0.019,          ,27908,          
20395,04 22 00.20,+39 56 03.3,7.02,19.51,0.88,0.616,0.008,04220+3956,27495,B+39  980 
20397,04 22 00.90,+12 30 32.1,9.27,19.15,2.11,0.689,0.003,          ,286697,B+12  582 
20398,04 22 02.30,-34 53 50.5,8.44,9.55,0.93,0.571,0.014,          ,27814,          
20413,04 22 19.20,+45 36 52.8,10.32,13.1,1.94,0.673,0.002,          ,      ,          
20415,04 22 20.60,+30 25 26.4,9.09,15.44,1.28,0.656,0.004,          ,27570,B+30  659 
20418,04 22 24.00,-25 54 33.0,9.54,10.77,1.56,0.649,0.023,          ,27802,          
20419,04 22 25.60,+11 18 20.6,9.79,19.17,1.93,1.183,0.005,          ,286770,B+10  568 
20434,04 22 37.40,+51 56 30.5,7.71,16.38,1.02,0.798,0.011,          ,27456,B+51  913 
20442,04 22 44.90,-78 42 52.1,8.7,7.78,0.79,0.515,0.016,          ,28899,          
20444,04 22 46.70,-33 07 20.8,10.04,21.31,1.39,0.989,0.002,          ,      ,          
20447,04 22 50.90,+09 46 17.3,8.11,7.6,1.23,0.457,0.021,          ,27718,B+ 9  567 
20475,04 23 18.50,+60 49 11.7,9.11,10.2,1.29,0.562,0.018,          ,      ,B+60  803 
20477,04 23 19.70,-00 58 08.0,8.36,9.53,1.38,0.54,0.023,          ,27809,B- 1  630 
20478,04 23 20.10,-25 23 39.7,7.82,24.9,0.87,0.627,0.005,          ,27905,          
20485,04 23 25.20,+15 45 47.5,10.47,21.08,2.69,1.231,0.009,          ,285749,B+15  616 
20486,04 23 25.30,+03 05 01.9,9.27,9.01,1.78,0.537,0.044,          ,27790,B+ 2  698 
20489,04 23 28.80,-27 39 28.2,8.59,14.02,1.01,0.686,0.015,          ,27939,          
20494,04 23 32.70,+45 04 44.6,9.45,5.6,1.46,0.509,0.035,          ,      ,B+44  932 
20509,04 23 42.80,-28 45 59.4,9.16,15.36,1.34,0.773,0.002,          ,27965,          
20512,04 23 43.90,+28 11 11.8,8.31,11.98,1.06,0.642,0.007,          ,27741,B+27  658 
20516,04 23 46.20,-49 08 43.9,10.14,10.56,1.11,0.638,0.041,          ,28119,          
20524,04 23 53.40,-34 45 21.3,8.38,21.22,0.94,0.701,0.002,          ,28013,          
20528,04 23 55.10,+27 49 21.5,10.97,19.26,2.09,1.21,0.015,          ,283636,          
20536,04 24 03.00,-32 04 48.2,9.42,9.47,1.16,0.867,0.031,          ,28012,          
20550,04 24 11.10,+40 57 39.1,9.76,9.41,1.52,0.529,0.043,          ,276274,B+40  949 
20563,04 24 16.80,+18 00 10.8,9.99,19.35,1.79,1.05,0.011,          ,285720,B+17  715 
20583,04 24 32.00,-29 12 50.0,8.47,6.85,1.14,0.516,0.013,          ,28055,          
20592,04 24 38.50,-74 30 32.8,9.47,6.52,0.85,0.688,0.029,          ,28769,          
20606,04 24 50.70,-50 37 18.6,7.69,17.8,0.64,0.722,0.009,04248-5037,28254,          
20611,04 24 53.90,-44 43 46.2,8.64,13.81,0.87,0.754,0.016,          ,28199,          
20626,04 25 10.70,+25 44 57.3,7.86,15.92,1,0.448,0.02,          ,27887,B+25  710 
20627,04 25 12.60,-61 37 20.4,8.25,10.83,0.66,0.605,0.013,          ,28421,          
20630,04 25 19.10,-44 09 39.8,6.38,27,0.57,0.457,0.004,          ,28246,          
20633,04 25 19.80,+39 03 09.6,8.23,8.23,1.13,0.649,0.011,          ,27831,B+38  886 
20637,04 25 22.80,+63 37 34.7,9.96,15.11,1.66,0.964,0.055,          ,      ,B+63  499 
20639,04 25 24.20,-73 19 33.6,9.22,10.32,0.78,0.622,0.022,          ,28790,          
20649,04 25 29.20,-34 51 48.6,9.43,11.17,1.2,0.631,0.028,          ,28197,          
20652,04 25 30.80,+26 17 32.8,11.06,21.93,2.8,1.26,0.02,          ,      ,          
20659,04 25 36.40,+32 09 31.4,8.57,8.92,1.87,0.681,0.017,04256+3210,27922,B+31  773 
20669,04 25 40.20,+63 40 29.5,8.3,15.21,0.95,0.804,0.015,          ,27635,B+63  500 
20677,04 25 45.60,-69 59 37.3,7.86,23.09,0.62,0.65,0.015,          ,28701,          
20690,04 25 54.90,+57 29 43.0,8.59,22.24,1.14,0.671,0.015,          ,27748,B+57  797 
20697,04 26 01.00,-13 16 49.2,8.37,11.46,1.29,0.519,0.015,          ,28160,B-13  880 
20699,04 26 02.00,-06 10 49.1,9.73,20.27,1.69,0.87,0.015,          ,      ,B- 6  904 
20705,04 26 08.80,+06 03 16.4,9.53,11.01,1.89,0.642,0.051,          ,      ,B+ 5  653 
20707,04 26 12.30,+35 44 22.2,9.2,8.75,2.36,0.572,0.031,04262+3544,279822,B+35  867 
20719,04 26 24.50,+16 51 12.1,8.04,21.76,1.46,0.651,0.004,          ,28068,B+16  598 
20722,04 26 26.10,+52 30 18.0,8.05,21.66,1.15,0.657,0.014,          ,27857,B+52  821 
20723,04 26 26.20,-10 33 02.4,7.8,25.28,1.08,0.75,0.01,          ,28185,B-10  919 
20724,04 26 26.20,+70 05 41.8,9.76,17.13,1.47,0.837,0.03,          ,      ,B+69  253 
20728,04 26 31.00,+29 15 46.1,9.64,7.45,1.48,0.546,0.037,          ,282182,B+28  655 
20736,04 26 37.90,-27 15 50.0,9.11,10.19,1.24,0.655,0.023,          ,28286,          
20738,04 26 38.80,-03 46 03.0,8.82,6.76,1.18,0.466,0.015,          ,28181,B- 4  831 
20739,04 26 38.90,-53 42 15.7,8.29,10.77,0.66,0.5,0.015,          ,28481,          
20753,04 26 49.30,+42 54 35.7,7.66,13.54,0.95,0.643,0.012,          ,27969,B+42  964 
20761,04 26 53.10,-18 39 22.3,7,15.05,0.78,0.551,0.015,          ,28264,B-18  840 
20762,04 26 54.20,+13 08 17.6,10.48,21.83,2.29,1.146,0.001,          ,286789,          
20768,04 26 59.80,+50 41 46.3,9.53,8.32,1.57,0.53,0.029,          ,232954,B+50  994 
20769,04 27 00.50,+19 07 04.7,7.69,15.26,1.5,0.586,0.015,04270+1907,28139,B+18  637 
20781,04 27 05.90,-46 56 48.6,6.1,30.82,0.53,0.47,0.006,          ,28454,          
20785,04 27 07.30,+20 59 27.6,8.57,11.09,1.11,0.797,0.023,04271+2059,28137,B+20  756 
20790,04 27 17.60,-29 11 27.2,9.62,8.02,1.52,0.503,0.015,          ,      ,          
20792,04 27 19.70,-49 17 35.1,9.99,14.37,1.06,0.87,0.045,          ,28513,          
20794,04 27 22.10,+07 03 45.0,7.58,15.28,1.14,0.408,0.015,          ,28218,B+ 6  686 
20800,04 27 24.60,+46 51 14.0,6.72,33.52,0.86,0.711,0.006,          ,28005,B+46  884 
20807,04 27 31.60,-24 27 25.9,8.11,13.05,1.68,0.56,0.007,04275-2427,28368,          
20811,04 27 32.60,-40 28 20.8,7.14,14.99,0.64,0.591,0.007,          ,28453,          
20822,04 27 42.50,+05 36 54.8,9.94,8.72,1.77,0.715,0.073,          ,      ,B+ 5  658 
20827,04 27 46.90,+14 25 04.1,9.48,17.29,2.23,0.929,0.005,          ,285830,B+14  699 
20850,04 28 04.30,+13 52 04.7,9.02,21.29,1.91,0.839,0.007,          ,28258,B+13  685 
20861,04 28 13.40,+45 02 44.4,9.23,7.67,1.61,0.429,0.024,          ,      ,B+44  957 
20870,04 28 22.00,-31 27 21.6,8.34,7.52,0.93,0.519,0.015,          ,28510,          
20879,04 28 27.80,-37 36 46.0,8.01,12.07,0.76,0.838,0.011,          ,28550,          
20891,04 28 37.50,+67 51 06.0,10.25,13.25,1.79,0.976,0.052,          ,      ,B+67  330 
20910,04 28 54.30,+55 00 01.9,7.67,11.4,0.92,0.561,0.015,          ,28097,B+54  773 
20913,04 28 54.70,-11 03 28.3,7.71,13.35,1.09,0.512,0.01,          ,28463,B-11  886 
20915,04 28 58.80,-13 39 40.4,8.65,6.5,1.32,0.542,0.014,          ,28492,B-13  892 
20917,04 29 00.10,+21 55 20.2,8.3,87.17,1.05,1.363,0.029,          ,28343,B+21  652 
20924,04 29 08.40,-51 08 19.5,9.18,13.69,0.82,0.721,0.022,          ,28721,          
20925,04 29 11.40,-40 58 58.6,9.32,9.17,0.95,0.712,0.005,          ,28641,          
20932,04 29 19.10,-05 40 49.7,8.78,10.59,1.85,0.58,0.002,          ,28491,B- 5  928 
20937,04 29 21.30,-21 25 45.7,8.78,8.63,1.3,0.528,0.014,          ,28560,B-21  886 
20946,04 29 27.50,-35 17 13.8,9.13,6.1,0.97,0.506,0.02,          ,28640,          
20948,04 29 30.20,+17 51 47.7,6.9,21.59,1.09,0.451,0.002,04295+1752,28406,B+17  732 
20951,04 29 31.50,+17 53 35.7,8.95,24.19,1.76,0.831,0.003,04295+1752,285773,B+17  734 
20959,04 29 40.40,-66 44 04.0,10.02,6.42,0.99,0.562,0.045,          ,29057,          
20964,04 29 43.00,+27 16 37.8,8.74,13.88,1.14,0.49,0.015,          ,283697,B+26  724 
20970,04 29 45.90,-45 05 03.1,9.1,9.2,0.95,0.57,0.026,          ,28743,          
20978,04 29 57.60,+16 40 22.5,9.08,24.71,1.27,0.865,0.013,          ,28462,B+16  609 
20981,04 29 58.60,-72 16 31.9,8.37,12.48,0.75,0.501,0.001,          ,29255,          
20989,04 30 03.70,+29 02 28.6,8.69,7.13,1.18,0.574,0.015,          ,28417,B+28  658 
20999,04 30 10.90,-38 01 45.9,9.5,10.77,1.1,0.595,0.028,          ,28741,          
21008,04 30 17.90,+19 50 26.3,7.09,19.94,0.93,0.47,0.015,          ,28483,B+19  731 
21010,04 30 19.90,+28 07 54.4,6.51,25.18,0.95,0.722,0.007,          ,28447,B+27  662 
21030,04 30 33.50,-40 13 06.5,9.6,12.18,1.11,0.81,0.037,          ,28789,          
21035,04 30 36.60,-40 23 42.8,8.16,11.33,0.83,0.714,0.013,          ,28798,          
21056,04 30 48.40,-57 27 00.5,8.65,8.55,1.15,0.51,0.015,04308-5727,29015,          
21070,04 30 59.40,-39 10 45.1,9.2,11.06,0.94,0.575,0.021,          ,28851,          
21072,04 31 00.70,-46 00 09.9,9.61,7.64,1.02,0.639,0.005,          ,28896,          
21077,04 31 03.60,-39 51 40.0,9.27,12.18,1,0.682,0.023,          ,28852,          
21081,04 31 06.10,-41 43 32.3,9.68,14.46,1.03,0.708,0.032,          ,28872,          
21090,04 31 10.90,+14 41 23.3,8.17,10.58,1.17,0.502,0.002,          ,28607,B+14  712 
21093,04 31 12.60,-19 28 23.8,9.4,9.35,1.63,0.54,0.024,          ,28751,B-19  946 
21099,04 31 15.60,+20 07 59.8,8.59,21.81,1.25,0.734,0.014,          ,28593,B+19  733 
21100,04 31 16.00,-44 10 08.6,9.58,4.95,1.05,0.518,0.015,          ,28914,          
21105,04 31 23.10,+31 16 41.8,9.06,13.03,1.48,0.768,0.029,          ,282230,B+30  674 
21107,04 31 24.00,+07 48 53.8,9.24,7.95,1.62,0.703,0.03,          ,      ,B+ 7  659 
21113,04 31 30.60,-31 41 36.4,8.36,12.07,0.92,0.465,0.015,          ,28861,          
21117,04 31 33.50,+37 39 08.8,8.21,10.03,2.39,0.618,0.014,04316+3739,28544,B+37  930 
21125,04 31 39.20,-29 44 36.6,10.19,14.66,1.65,0.676,0.015,          ,      ,          
21129,04 31 43.30,-21 00 29.3,9.15,10.2,1.28,0.674,0.022,          ,28808,B-21  900 
21134,04 31 49.60,+25 53 07.1,9.74,8.34,1.47,0.58,0.04,          ,283707,B+25  719 
21141,04 31 55.90,-75 40 51.9,8.21,10.95,0.77,0.681,0.013,          ,29658,          
21143,04 31 56.90,-12 37 57.5,7.16,17.95,0.84,0.484,0.006,          ,28807,B-12  915 
21155,04 32 07.00,+05 37 32.6,8.76,9.2,1.64,0.455,0.024,          ,28748,B+ 5  675 
21158,04 32 07.90,+21 37 56.5,7.08,25.55,0.92,0.641,0.009,          ,28676,B+21  657 
21164,04 32 14.90,+64 14 49.1,8.99,6.21,1.26,0.498,0.022,          ,28317,B+63  507 
21165,04 32 15.40,+77 37 27.4,7.83,23.97,0.69,0.63,0.009,          ,27757,B+77  162 
21172,04 32 21.40,-05 02 20.1,7.61,27.05,1.02,0.683,0.01,          ,28821,B- 5  948 
21186,04 32 30.40,+04 08 23.8,11.03,24.04,4.57,1.51,0.015,04325+0408,      ,          
21187,04 32 30.70,-56 13 34.7,8.54,16.37,0.7,0.561,0.015,          ,29178,          
21197,04 32 40.90,+34 08 09.4,10.89,25.01,2.05,1.27,0.015,          ,      ,          
21204,04 32 48.40,-47 43 01.0,9.77,6.64,1.06,0.534,0.026,          ,29127,          
21211,04 32 58.30,-70 53 48.9,9.09,5.43,0.76,0.49,0.022,          ,29533,          
21220,04 33 08.00,-19 21 30.6,8.07,15.07,1.04,0.48,0.012,          ,28981,B-19  954 
21223,04 33 09.30,-36 56 46.1,8.74,39.93,0.93,0.99,0.015,          ,29086,          
21226,04 33 09.80,+04 58 13.1,8.74,11.35,1.63,0.512,0.025,          ,28880,B+ 4  708 
21229,04 33 15.40,+64 59 18.2,7.49,10.97,0.97,0.464,0.01,          ,28401,B+64  457 
21232,04 33 16.20,-21 08 05.5,9.8,12.9,1.4,0.682,0.016,04332-2109,28995,B-21  910 
21245,04 33 28.80,-07 50 19.6,8.09,18.72,0.97,0.549,0.012,          ,28969,B- 8  879 
21256,04 33 37.10,+21 09 03.5,10.69,24.98,1.95,1.237,0.005,          ,284552,B+20  774 
21261,04 33 41.80,+19 00 50.8,10.74,21.06,2.21,1.197,0.004,          ,285837,          
21262,04 33 42.80,+28 43 46.5,10.01,8.8,1.61,0.604,0.052,          ,283682,          
21272,04 33 50.40,+05 23 08.5,7.92,37.33,2.58,0.779,0.002,          ,28946,B+ 5  678 
21275,04 33 51.80,+24 30 07.7,9.1,8.63,1.18,0.54,0.015,          ,28866,B+24  665 
21284,04 34 01.10,-43 31 28.3,8.81,44.52,0.8,1.106,0.002,          ,29220,          
21286,04 34 02.40,-59 48 36.4,9.14,17.25,0.8,0.724,0.024,          ,29382,          
21307,04 34 26.80,+00 24 26.1,7.24,16.23,0.97,0.714,0.009,          ,29052,B+ 0  789 
21308,04 34 30.10,+10 00 59.7,7.72,21.36,1.07,0.615,0.018,          ,29004,B+ 9  602 
21313,04 34 33.50,-60 48 09.9,9.56,8.35,0.96,0.692,0.031,          ,      ,          
21314,04 34 34.20,+20 19 29.7,9.93,7.21,1.8,0.573,0.064,          ,284562,B+20  777 
21321,04 34 36.70,+06 31 26.3,9.41,11.11,1.41,0.548,0.038,          ,      ,B+ 6  707 
21329,04 34 39.60,-11 38 08.9,8.62,16.39,1.09,0.734,0.014,          ,29125,B-11  904 
21333,04 34 42.40,+27 32 04.4,9.17,6.06,1.56,0.51,0.015,          ,283691,B+27  665 
21335,04 34 43.60,+11 29 57.7,8.55,7.55,1.82,0.439,0.021,04347+1130,29039,B+11  627 
21343,04 34 46.50,-05 26 28.9,9.29,7.28,1.43,0.529,0.03,          ,29108,B- 5  959 
21348,04 34 50.10,+22 53 25.4,9.71,8.69,1.61,0.546,0.004,          ,284532,B+22  713 
21352,04 34 53.10,+39 08 31.0,8.91,26.74,4.28,0.955,0.034,04349+3908,276666,B+38  912 
21353,04 34 53.90,+28 03 52.3,9.23,6.81,1.34,0.452,0.017,          ,283690,B+27  667 
21354,04 34 54.60,-25 02 20.1,7.38,14.18,1.28,0.478,0.005,04349-2502,29198,          
21379,04 35 15.30,-43 59 52.3,9.68,5.53,1.03,0.522,0.028,          ,29348,          
21383,04 35 21.50,-04 44 09.5,7.88,26.45,1.15,0.632,0.015,          ,29161,B- 5  963 
21384,04 35 21.80,+60 44 41.5,11.66,9.83,2.69,0.982,0.002,          ,      ,          
21388,04 35 28.10,-54 53 29.1,7.9,10.13,0.64,0.596,0.003,          ,29473,          
21397,04 35 35.40,+32 34 47.5,8.45,12.92,1.04,0.524,0.015,          ,29037,B+32  815 
21403,04 35 40.00,+19 58 08.2,7.24,15.41,1.03,0.575,0.012,04357+1958,29103,B+19  740 
21406,04 35 41.20,-57 25 34.1,8.03,8.95,0.71,0.503,0.011,          ,29532,          
21407,04 35 42.40,+80 17 28.9,10.11,9.48,1.29,0.73,0.042,          ,      ,B+79  144 
21409,04 35 43.40,-19 13 24.4,9.6,10.27,1.38,0.664,0.029,          ,29262,B-19  964 
21411,04 35 44.00,+01 26 42.2,8.46,12.77,1.1,0.635,0.02,          ,29170,B+ 1  777 
21414,04 35 45.60,-21 20 23.4,8.18,18.65,0.96,0.66,0,          ,29263,B-21  919 
21416,04 35 47.10,-68 14 17.1,9.57,4.2,0.79,0.457,0.031,          ,29738,          
21425,04 36 00.20,-47 39 18.5,9.85,11,1.02,0.7,0.033,          ,29454,          
21436,04 36 13.90,+21 32 11.9,7.58,29.69,0.93,0.685,0.016,          ,29150,B+21  670 
21438,04 36 15.10,-39 24 52.3,9.02,17.69,0.9,0.671,0.02,          ,29428,          
21442,04 36 17.50,+21 41 21.8,8.18,11.19,1.09,0.456,0.015,          ,29158,B+21  671 
21449,04 36 23.00,-30 49 56.6,8.85,5.73,1.02,0.534,0.015,          ,29378,          
21455,04 36 25.70,-82 34 57.1,9.48,23.01,0.85,0.865,0.004,          ,31037,          
21456,04 36 25.60,-37 49 33.1,7.2,18.36,0.64,0.401,0.009,          ,29427,          
21458,04 36 26.60,-46 29 07.7,10.54,15.78,1.38,1.058,0.015,          ,      ,          
21475,04 36 41.10,+11 54 44.8,9.94,18.93,1.75,0.852,0.056,04367+1155,286900,B+11  633 
21478,04 36 44.50,+27 15 19.5,9.43,10.59,1.55,0.57,0.015,          ,283749,B+26  729 
21488,04 36 53.80,-14 55 32.8,7.93,14.74,1.48,0.577,0.018,04369-1456,29368,B-15  819 
21489,04 36 54.30,-14 53 10.8,9.98,29.96,1.73,1.124,0.004,          ,      ,B-15  820 
21490,04 36 55.10,-41 15 41.6,9.93,4.38,1.27,0.455,0.034,          ,29509,          
21496,04 37 01.10,+47 45 29.8,9.07,10.02,1.8,0.593,0.037,          ,29080,B+47 1015 
21497,04 37 01.90,-28 57 10.1,8.63,10.19,0.98,0.539,0.015,          ,29445,          
21505,04 37 07.30,-54 51 43.4,9,9.85,1.54,0.604,0.025,04371-5452,29640,          
21508,04 37 08.30,-14 07 03.4,8.93,8.9,1.16,0.49,0.015,          ,29394,B-14  931 
21511,04 37 09.60,-25 33 22.7,8.78,8.39,1.22,0.631,0.015,          ,29434,          
21516,04 37 14.30,+30 24 00.5,7.76,12.74,1.08,0.498,0.012,          ,29214,B+30  695 
21526,04 37 19.50,+06 29 37.7,9.48,6.78,2.02,0.509,0.04,          ,      ,B+ 6  722 
21539,04 37 27.10,-33 18 15.4,10.17,28.61,1.31,1,0.02,          ,      ,          
21541,04 37 29.50,-40 31 52.2,9.6,10.2,1.07,0.689,0.03,          ,29558,          
21545,04 37 33.60,-64 07 20.8,9.45,8.02,0.79,0.603,0.025,          ,29815,          
21548,04 37 36.30,-28 10 54.1,9.33,15.96,1.23,0.703,0.024,          ,29508,          
21552,04 37 39.00,+49 51 37.3,9.1,5.98,1.78,0.428,0.049,          ,29131,B+49 1210 
21553,04 37 40.60,+52 53 41.2,8.62,98.12,1.2,1.423,0.011,          ,232979,B+52  857 
21556,04 37 42.00,-11 02 18.3,10.34,90.23,1.81,1.505,0.017,          ,      ,B-11  916 
21559,04 37 43.50,+41 36 42.8,8.34,23.19,1.52,0.747,0.036,          ,276618,B+41  916 
21571,04 37 52.10,+60 40 34.1,7.76,33.84,0.91,0.71,0.01,          ,29021,B+60  825 
21573,04 37 54.10,+30 31 36.9,9.31,4.91,1.4,0.518,0.031,          ,282323,B+30  699 
21596,04 38 11.80,-20 50 30.3,9.33,8.97,1.38,0.584,0.025,          ,29522,B-21  933 
21607,04 38 18.90,+53 47 02.7,8.73,9.48,1.7,0.514,0.017,04383+5347,29149,B+53  793 
21608,04 38 20.00,+37 21 45.0,8.44,10.14,1.27,0.602,0.015,          ,29284,B+37  952 
21613,04 38 23.40,-40 35 23.5,9.07,9.78,1.01,0.58,0.023,          ,29653,          
21617,04 38 28.40,+28 43 03.6,8.34,11.49,1.07,0.456,0.015,          ,29342,B+28  674 
21623,04 38 32.30,+02 04 20.4,9.17,5.25,1.35,0.55,0.031,          ,29463,B+ 1  787 
21639,04 38 52.10,+20 46 50.8,9.89,6.63,1.86,0.48,0.074,          ,      ,B+20  789 
21668,04 39 05.30,-15 12 58.4,9.32,10.75,1.33,0.661,0.015,          ,      ,B-15  830 
21676,04 39 12.30,+10 55 27.4,10.21,7.29,2.1,0.658,0.068,          ,286943,B+10  604 
21682,04 39 15.40,+07 01 44.6,9.43,8.32,1.94,0.62,0.046,          ,      ,B+ 6  731 
21684,04 39 17.40,+11 15 54.8,9.68,9.56,1.73,0.72,0.015,          ,286941,B+10  605 
21687,04 39 22.60,+19 07 07.0,9.53,6.74,1.43,0.536,0.048,          ,285938,B+18  670 
21701,04 39 33.80,+45 37 13.5,9.52,5.94,1.49,0.612,0.051,          ,      ,B+45  971 
21710,04 39 42.60,+09 52 22.7,9.19,35.21,1.81,1.018,0.005,04397+0952,286955,B+ 9  621 
21711,04 39 42.80,-45 02 44.0,8.44,9.26,0.79,0.533,0.013,04397-4503,29814,          
21716,04 39 44.40,-43 23 01.4,8.9,7.97,0.85,0.47,0.015,          ,29802,          
21717,04 39 47.10,-35 09 59.7,8.75,7.02,0.94,0.491,0.014,          ,29758,          
21719,04 39 47.20,-10 41 42.7,8.49,7.59,1.13,0.608,0.016,          ,29649,B-10  977 
21721,04 39 48.50,-78 48 25.0,9.32,7.79,0.94,0.554,0.025,          ,30778,          
21724,04 39 51.30,-35 38 38.4,8.45,14.52,0.9,0.47,0.015,          ,29767,          
21731,04 39 58.10,-71 30 19.9,7.76,26.42,0.66,0.747,0.003,          ,30306,          
21750,04 40 12.10,+67 35 20.8,10.81,22.71,2.12,1.254,0.02,          ,      ,          
21751,04 40 12.70,+16 23 55.2,9.7,9.39,1.84,0.491,0.064,          ,29588,B+16  639 
21756,04 40 17.70,-58 56 39.6,6.53,32.3,0.98,0.677,0.007,04403-5857,30003,          
21757,04 40 18.30,-46 17 35.6,8.67,11.79,0.83,0.68,0.015,          ,29876,          
